Anthropology of the Numa	Powell, John Wesley, 1834-1902. Fowler, Catherine S. Fowler, Don D., 1936-	Smithsonian Institution Press; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.]	1971	SI 1.33:14	google	UCSC	https://catalog.hathitrust.org/Record/7114984	Limited View
The Environment of south Florida	McPherson, Benjamin F.	U.S. Govt. Print. Off.,	1976	I 19.16:1011	google	PST	https://catalog.hathitrust.org/Record/7056574	Limited View
Major energy conservation retrofits	United States. Dept. of Energy. Office of Conservation and Renewable Energy. National Center for Appropriate Technology (U.S.)	NCAT,	1984	DOE CE.15095:11	google	PST	https://catalog.hathitrust.org/Record/7067381	Limited View
The Cleveland-Lloyd dinosaur quarry	Stokes, William Lee, 1915-1994 United States. Bureau of Land Management.	U.S. Dept. of the Interior, Bureau of Land Management],	1985	I 53.2:C 59	google	UCR	https://catalog.hathitrust.org/Record/101732912	Full View
Undersea features	United States. Geographic Names Division United States Board on Geographic Names		1972	I 33.8:Un 2	google	UCSD	https://catalog.hathitrust.org/Record/7156426	Limited View
Preliminary inventory of the records of the Coast and Geodetic Survey (Record group 23)	National Archives (U.S.) Reingold, Nathan, 1927-		1958	GS 4.10:105	google	UCSD	https://catalog.hathitrust.org/Record/7158045	Full View
National plan for ocean surveys	Federal Council for Science and Technology (U.S.). Committee on Oceanography	The Committee,	1963	Y 3.F 31/16:9/7	google	UCSD	https://catalog.hathitrust.org/Record/7165586	Full View
Science on the web	Poppe, Barbara Richardson, Lisa McAllister, Deborah United States. National Oceanic and Atmospheric Administration Space Environment Center (U.S.)	Space Environment Center : Dept. of Commerce, National Oceanic and Atmospheric Administration,	1998	C 55.2:SCI 2/3	google	UCSD	https://catalog.hathitrust.org/Record/7230572	Limited View
Radioactivity in the marine environment	National Research Council (U.S.). Panel on Radioactivity in the Marine Environment Waldichuk, M United States. Division of Biology and Medicine	Div. of Biology and Medicine, U.S. Atomic Energy Commission,	1971	Y 3.At 7:22/WASH-1185	google	UCSD	https://catalog.hathitrust.org/Record/7246668	Limited View
Adventitious buds on mature trees	Kormanik, Paul Peter. Brown, Claud L., 1925-		1967	A 13.79:SE-RN-82	google	UMN	https://catalog.hathitrust.org/Record/7411997	Limited View
The Constitution of the United States of America	United States.	U.S. Govt. Print. Off.,	1976	94-2:H.doc.508	google	OSU	https://catalog.hathitrust.org/Record/101803182	Full View
Market prospects after the war	United States. Bureau of Foreign and Domestic Commerce.		1944		google	UIUC	https://catalog.hathitrust.org/Record/101793346	Full View
NATO status of forces agreement criminal jurisdiction provisions ...	United States. Congress. Senate. Committee on Foreign Relations.	U.S. Govt. Print. Off.,	1957		google	SRLF	https://catalog.hathitrust.org/Record/101818677	Full View
Growth trends in manufacturing industries, 1947-1956	United States. Department of Commerce. Office of Area Development.	U.S. Govt. Print. Off.],	1958		google	SRLF	https://catalog.hathitrust.org/Record/101797900	Full View
Traffic stripe removal	Niessner, Charles W. United States. Federal Highway Administration. Offices of Research and Development. United States. Federal Highway Administration. Implementation Division.	U.S. Department of Transportation Technology Sharing Division,	1979		google	NWU	https://catalog.hathitrust.org/Record/11233428	Full View
Night vision for airmen	United States. Office of the Chief of Naval Operations.	Aviation Training Division, Office of the Chief of Naval Operations, United States Navy,	1944		google	SRLF	https://catalog.hathitrust.org/Record/101798049	Full View
The Third International Seabed High-Level Waste Disposal Assessment Workshop, Albuquerque, New Mexico, February 6-7, 1978	Anderson, D. Richard Sandia National Laboratories	Sandia National Laboratories for the U.S. Department of Energy,	1978	E 1.28:SAND 78-0369	google	UCSD	https://catalog.hathitrust.org/Record/8342396	Limited View
Report on Guam, 1899-1950	United States. Navy Department. United States. Office of the Chief of Naval Operations.	For sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1951		google	SRLF	https://catalog.hathitrust.org/Record/101798036	Full View
Solar ponds	Solar Energy Research Institute. United States. Department of Energy. Solar Energy Information Data Bank (U.S.)	Solar Energy Research Institute ; Available from National Technical Information Service,	1981		google	UCR	https://catalog.hathitrust.org/Record/101798684	Full View
Military symbols	United States. Department of the Army.	U.S. Govt. Print. Off.,	1970		google	SRLF	https://catalog.hathitrust.org/Record/101797986	Full View
Women's clubs and public libraries	Spencer, Mary Clare Wilson, 1842-1923. Michigan State Federation of Women's Clubs. Michigan. State Board of Library Commissioners.	The Board,	1902	EG 326.13:2 W 87	google	NNC	https://catalog.hathitrust.org/Record/8430144	Full View
Robbery	Cook, Philip. National Institute of Justice (U.S.)	U.S. Dept. of Justice, National Institute of Justice,	1983	J 28.2:R 31/3	google	UCR	https://catalog.hathitrust.org/Record/101733478	Full View
Methaqualone	United States. Drug Enforcement Administration. Los Angeles Division.	U.S. Dept. of Justice, Drug Enforcement Administration, Los Angeles Division,	1986	J 24.2:M 56/2	google	UCR	https://catalog.hathitrust.org/Record/101733467	Full View
Central Rock Mine, SPR	United States. Federal Energy Administration.		1977	FEA-KY-770927	google	NWU	https://catalog.hathitrust.org/Record/100973768	Full View
Air police law enforcement operations	United States. Department of the Air Force.	The Dept.,	1962		google	SRLF	https://catalog.hathitrust.org/Record/101797902	Full View
Environmental diplomacy	United States. Dept. of State. Bureau of Oceans and International Environmental and Scientific Affairs.	U.S. Dept. of State, Bureau of Oceans and International Environmental and Scientific Affairs : For sale by the U.S. G.P.O., Supt. of Docs.,	1997	S 1.10:997	google	COO	https://catalog.hathitrust.org/Record/9138691	Limited View
United States postage stamps	United States Postal Service. Philatelic Affairs Division.	For sale by Supt. of Docs., U.S. Govt. Print. Off.,	1970	P 4.10:970/	google	NRLF	https://catalog.hathitrust.org/Record/9504538	Limited View
Report on industrial and hydroelectric power developments in Norway and Sweden ...	United States. Congress. Senate. Committee on Public Works.	U.S. Govt. Print. Off.,	1961		google	SRLF	https://catalog.hathitrust.org/Record/101818515	Full View
Water carrier mixing rule exemption	United States. Congress. Senate. Committee on Commerce. Subcommittee on Surface Transportation.	U.S. Govt. Print. Off.,	1967	Y 4.C 73/2:90-21	google	NRLF	https://catalog.hathitrust.org/Record/9990402	Limited View
Class I dairy base plan	United States. Congress. House. Committee on Agriculture. Subcommittee on Dairy and Poultry.	U.S. Govt. Print. Off.,	1969	Y 4.Ag 8/1:D 14/11	google	NRLF	https://catalog.hathitrust.org/Record/9988785	Limited View
Nominations	United States. Congress. Senate. Committee on Labor and Public Welfare.	U.S. Govt. Print. Off.,	1969	Y 4.L 11/2:N 72/5/969-3	google	NRLF	https://catalog.hathitrust.org/Record/9990347	Limited View
Rural Telephone Bank	United States. Congress. Senate. Committee on Agriculture and Forestry. Subcommittee on Agricultural Credit and Rural Electrification.	U.S. Govt. Print. Off.,	1969	Y 4.Ag 8/1:T 23/3	google	NRLF	https://catalog.hathitrust.org/Record/9990700	Limited View
Potato marketing orders	United States. Congress. Senate. Committee on Agriculture and Forestry. Subcommittee on Agricultural Production, Marketing, and Stabilization of Prices.	U.S. Govt. Print. Off.,	1969	Y 4.Ag 8/2:P 84/6	google	NRLF	https://catalog.hathitrust.org/Record/9990697	Limited View
Minority outreach guide, urban and community forestry	Oregon. Dept. of Forestry Council of Western State Foresters.	Council of Western State Foresters,	1996		google	UMN	https://catalog.hathitrust.org/Record/10835053	Full View
Shrimp, a new picture for 1974	United States. National Marine Fisheries Service.		1974	C55.302:Sh8	google	UIUC	https://catalog.hathitrust.org/Record/11389130	Limited View
Plastics packaging: structure, growth patterns, and prospects	United States. Business and Defense Services Administration.	For sale by the Supt. of Docs., U.S. Govt. Print. Off.],	1969	C 41.2:P 69/2	google	UIUC	https://catalog.hathitrust.org/Record/11396148	Limited View
Population, economic, and land use studies in urban transportation planning	Silver, Jacob. Stowers, Joseph R. United States. Bureau of Public Roads.	U.S. Dept. of Commerce, Bureau of Public Roads,	1964	C 37.2:T 68	google	UIUC	https://catalog.hathitrust.org/Record/11396149	Limited View
Humanities, science, and technology	National Endowment for the Humanities. Division of Research Programs.	National Endowment for the Humanities, Division of Research Programs ; for sale by U.S.G.P.O.,	1991	NF 3.2:Sci 2/2	google	UIUC	https://catalog.hathitrust.org/Record/11415111	Limited View
Studies on the mechanism of action of thermal neutrons in producing biological effects	Storer, John B. Langham, Wright H. Ellinwood, L. Edward. Los Alamos Scientific Laboratory. U.S. Atomic Energy Commission.	Los Alamos Scientific Laboratory of the University of California,	1953	Y 3.AT 7:22/LA-1527	google	GWLA	https://catalog.hathitrust.org/Record/12213313	Full View
Glacier Electric Cooperative, Browning-Babb 69kV transmission line, finding of no significant impact (FONSI).	United States. Rural Electrification Administration.		1985	REA-MT-859997	google	NWU	https://catalog.hathitrust.org/Record/100972149	Full View
Standard highway signs	United States. Federal Highway Administration.	U.S. Department of Transportation, Federal Highway Administration,	2002		google	NWU	https://catalog.hathitrust.org/Record/11238374	Full View
Japanese electronics	United States. Department of the Navy.	U.S. Govt. Print. Off.],	1945	N 13.2:P 56X	google	NWU	https://catalog.hathitrust.org/Record/12409275	Limited View
Thermal modification of river water quality	Jaske, R. T. Battelle Memorial Institute. Pacific Northwest Laboratory. U.S. Atomic Energy Commission.	Battelle Pacific Northwest Laboratories,	1968	Y 3.At 7:22/BNWL-719	google	GWLA	https://catalog.hathitrust.org/Record/100392364	Limited View
Excavation of Mound 7, Gran Quivira National Monument, New Mexico	Hayes, Alden C. Warren, A. H. (A. Helene), 1921-1994. Young, Jon Nathan. United States. National Park Service.	National Park Service, U.S. Dept. of Interior : For sale by the Supt. of Docs., U.S. G.P.O.,	1981	I 29.59:16	google	UCR	https://catalog.hathitrust.org/Record/225879	Full View
Motor vehicle theft	Harlow, Caroline Wolf. United States. Bureau of Justice Statistics.	U.S. Dept. of Justice, Bureau of Justice Statistics,	1988	J 29.13:M 85	google	UCR	https://catalog.hathitrust.org/Record/3572390	Full View
International motor carrier relations between the United States and Mexico and regulatory exemptions	United States. Congress. House. Committee on Public Works and Transportation. Subcommittee on Surface Transportation.	U.S. G.P.O. : For sale by the Supt. of Docs., Congressional Sales Office, U.S. G.P.O.,	1987	Y 4.P 96/11:100-9	google	UCR	https://catalog.hathitrust.org/Record/101750475	Full View
An atlas of anatomy of the head and neck	Brand, Thurlow W. Walter Reed Army Medical Center.	Dental Division, Army Medical Service Graduate School, Walter Reed Army Medical Center,	1955		google	NWU	https://catalog.hathitrust.org/Record/10600439	Full View
The National strategic plan for the early detection and control of breast and cervical cancer	Centers for Disease Control and Prevention (U.S.).	U.S. Dept. of Health and Human Services, Public Health Service, Centers for Disease Control and Prevention : Food and Drug Administration : National Cancer Institute,	1993		google	NWU	https://catalog.hathitrust.org/Record/10599018	Full View
Phosphate	Stowasser, William F. United States. Bureau of Mines.	Dept. of the Interior, Bureau of Mines,	1979	I 28.37/3:P 56	google	UCR	https://catalog.hathitrust.org/Record/101750724	Full View
Beryllium	Petkof, Benjamin. United States. Bureau of Mines.	Dept. of the Interior, Bureau of Mines,	1979	I 28.37/3:B 46	google	UCR	https://catalog.hathitrust.org/Record/101750745	Full View
Design criteria for concrete arch and gravity dams	Engineering and Research Center (U.S.)	U.S. Dept. of the Interior, Bureau of Reclamation, Engineering and Research Center ; for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1974	I 27.34:19/2	google	UCR	https://catalog.hathitrust.org/Record/101750712	Full View
Ayudando a su hijo aprender la geografía	Fromboluti, Carol Sue. Geological Survey (U.S.)	U.S. Dept. of the Interior, U.S. Geological Survey,	1992	I 19.2:C 43/SPAN.	google	UCR	https://catalog.hathitrust.org/Record/101750709	Full View
District of Columbia Pension Liability Funding Reform Act of 1994	United States. Congress. House. Committee on the District of Columbia. Subcommittee on Fiscal Affairs and Health.	U.S. G.P.O. : [Supt. of Docs., U.S. G.P.O., Congressional Sales Office],	1995	Y 4.D 63/1:103-10	google	UCR	https://catalog.hathitrust.org/Record/101750794	Full View
Cerebrovascular survey report	Siekert, Robert George, 1924- Joint Council Subcommittee on Cerebrovascular Disease.	Whiting Printers,	1970		google	NWU	https://catalog.hathitrust.org/Record/10597196	Full View
Indoor air pollution	Van de Kamp, Jacqueline. National Library of Medicine (U.S.)	U.S. Dept. of Health and Human Services, Public Health Service, National Institutes of Health, National Library of Medicine,	1988		google	NWU	https://catalog.hathitrust.org/Record/10598958	Full View
Joint CDRH and state quality assurance surveys in nuclear medicine	Hamilton, Donald R. Evans, Clifford D. Center for Devices and Radiological Health (U.S.)	U.S. Dept. of Health and Human Services, Public Health Service, Food and Drug Administration, Center for Devices and Radiological Health,	1986		google	NWU	https://catalog.hathitrust.org/Record/10598772	Full View
Median intersection design for rural high-speed divided highways	Maze, T. H. United States. Federal Highway Administration. American Association of State Highway and Transportation Officials. National Cooperative Highway Research Program. National Research Council (U.S.). Transportation Research Board.	Transportation Research Board,	2010		google	NWU	https://catalog.hathitrust.org/Record/10642190	Full View
Arteriosclerosis	Fishman, Alfred P. National Heart and Lung Institute. Task Force on Arteriosclerosis.	U.S. Dept. of Health, Education, and Welfare, Public Health Service, National Institutes of Health ; for sale by the Supt. of Docs., U.S. G.P.O.,	1978		google	NWU	https://catalog.hathitrust.org/Record/10598456	Full View
Adaptive traffic control systems	Stevanovic, Aleksandar. United States. Federal Highway Administration. American Association of State Highway and Transportation Officials. National Cooperative Highway Research Program. National Research Council (U.S.). Transportation Research Board.	Transportation Research Board,	2010		google	NWU	https://catalog.hathitrust.org/Record/10643125	Full View
Hysterectomy in women aged 15-44, summary 1970-1975	Center for Disease Control. Family Planning Evaluation Division.	U.S. Dept. of Health and Human Services, Public Health Service, Center for Disease Control, Bureau of Epidemiology, Family Planning Evaluation Division,	1980		google	NWU	https://catalog.hathitrust.org/Record/10598987	Full View
Time-dependent structural equations modelling of the relationship between attitudes and discrete choice behavior of transportation consumers	Mokhtarian, Patricia L. United States. Urban Mass Transportation Administration. University Research and Training Program. Northwestern University (Evanston, Ill.). Transportation Center.	Urban Mass Transportation Administration, Office of Policy Budget and Program Development, Office of Policy Research, University Research and Training Program,	1981		google	NWU	https://catalog.hathitrust.org/Record/10630553	Full View
Applications of illuminated, active, in-pavement marker systems	Carson, Jodi L. (Jodi Louise) United States. Federal Highway Administration. American Association of State Highway and Transportation Officials. National Cooperative Highway Research Program. National Research Council (U.S.). Transportation Research Board.	Transportation Research Board,	2008		google	NWU	https://catalog.hathitrust.org/Record/10643098	Full View
Public sector decision making for public-private partnerships	Buxbaum, Jeffrey N. Ortiz, Iris N. United States. Federal Highway Administration. American Association of State Highway and Transportation Officials. National Cooperative Highway Research Program. National Research Council (U.S.). Transportation Research Board.	Transportation Research Board,	2009		google	NWU	https://catalog.hathitrust.org/Record/10643109	Full View
The Arlington Memorial Bridge	United States. Arlington Memorial Bridge Commission. Kulash, Damian J., donor.	Govt. Print. Off.,	1924		google	NWU	https://catalog.hathitrust.org/Record/10604560	Full View
A nation in motion	Kulash, Damian J., donor. Kneebone, John. Rogers, Elizabeth. United States. Dept. of Transportation. Office of Environmental Affairs.	Department of Transportation Office of the Secretary : For sale by the Supt. of Docs., U.S. G.P.O.,	1976		google	NWU	https://catalog.hathitrust.org/Record/10619347	Full View
Standard alphabets for highway signs	National Committee on Uniform Traffic Laws and Ordinances. Institute of Traffic Engineers. American Association of State Highway Officials. United States. Bureau of Public Roads.	U.S. Bureau of Public Roads, Dept. of Commerce,	1945		google	NWU	https://catalog.hathitrust.org/Record/11238376	Full View
Implementing effective travel demand management measures	R.H. Pratt, Consultant Inc. K. T. Analytics, Inc. Georgia Institute of Technology. Institute of Transportation Engineers. United States. Federal Highway Administration. United States. Federal Transit Administration. Comsis Corporation.	Institute of Transportation Engineers,	1993		google	NWU	https://catalog.hathitrust.org/Record/10629649	Full View
Systems for the identification of moving objects	Ivakhnenko, Alekseĭ Grigorʹevich. United States. Air Force. Systems Command. Foreign Technology Division.	Air Force Systems Command, Foreign Technology Division,	1971		google	NWU	https://catalog.hathitrust.org/Record/10641730	Full View
Driver behavior during the yellow signal interval	Williams, William L. United States. Federal Highway Administration.	U.S. Department of Transportation, Federal Highway Administration,	1977		google	NWU	https://catalog.hathitrust.org/Record/11238818	Full View
Current policy research activities supported by UMTA's Office of Policy and Program Development	United States. Urban Mass Transportation Administration. Office of Policy and Program Development.	Urban Mass Transportation Administration, Office of Policy and Program Development,	1977		google	NWU	https://catalog.hathitrust.org/Record/10630220	Full View
Agricultural export transportation handbook	Welby, Ellen M. McGregor, Brian M. United States. Agricultural Marketing Service.	U.S. Dept. of Agriculture, Agricultural Marketing Service,	2004		google	NWU	https://catalog.hathitrust.org/Record/10611322	Full View
South Carolina	Duych, Ron. Battelle Memorial Institute. United States. Bureau of Transportation Statistics.	U. S. Bureau of Transportation Statistics,	2002		google	NWU	https://catalog.hathitrust.org/Record/10623851	Full View
Developments in Europe, March 1983	United States. Congress. House. Committee on Foreign Affairs. Subcommittee on Europe and the Middle East.	U.S. G.P.O.,	1983	Y 4.F 76/1:Eu 7/25/983	google	UCR	https://catalog.hathitrust.org/Record/11338049	Full View
Transportation research	United States. Congress. House. Committee on Appropriations. United States. General Accounting Office.	U.S. General Accounting Office,	2003		google	NWU	https://catalog.hathitrust.org/Record/10617657	Full View
Research needs relating to performance of aggregates in highway construction	Walker, Richard D., 1931- Cady, P. D. (Philip Dale), 1933- Larson, Thomas D. National Cooperative Highway Research Program. National Research Council (U.S.). Highway Research Board. Virginia Polytechnic Institute.	Highway Research Board, Division of Engineering, National Research Council,	1970		google	NWU	https://catalog.hathitrust.org/Record/10641679	Full View
Proceedings of the National Conference on Rural Public Transportation, 1st, held at Greensboro, N.C. on Jun 7-9, 76.	McKelvey, Douglas J. United States. Dept. of Transportation. Office of University Research. National Council on the Transportation Disadvantaged. National Research Council (U.S.). Transportation Research Board. North Carolina Agricultural and Technical State University. Transportation Institute. National Conference on Rural Public Transportation (1st : 1976 : Greensboro, N.C.)	U.S. Department of Transportation, Office of University Research,	1976		google	NWU	https://catalog.hathitrust.org/Record/10610657	Full View
Synthesis of safety research, pedestrians	Zegeer, Charles V. United States. Federal Highway Administration. United States. Federal Highway Administration. Office of Technology Applications. United States. Federal Highway Administration. Office of Implementation. University of North Carolina (System). Highway Safety Research Center.	U.S. Department of Transportation, Federal Highway Administration, Office of Technology Applications ; National Technical Information Service [distributor,	1991		google	NWU	https://catalog.hathitrust.org/Record/10630273	Full View
1970 census of population and housing	United States. Bureau of the Census.	Dept. of Commerce, Bureau of the Census : [for sale by Subscriber Services (Publications), Bureau of the Census],	1979	C 3.223/16:970/13	google	UCR	https://catalog.hathitrust.org/Record/11326223	Full View
Tunneling - the state of the industry	Mayo, R. S. Jenny, R. J. Barrett, James E. (James Elmer), 1934- United States. Department of Transportation. Office of the Assistant Secretary for Systems Development and Technology.	Dept. of Transportation, Office of the Secretary, Office of the Assistant Secretary for Systems Development and Technology ; for sale by the National Technical Information Service,	1976	TD 1.20/2:76-29	google	SRLF	https://catalog.hathitrust.org/Record/101798155	Full View
Public transportation fare policy	Dygert, Paul. Hill, Donald R., 1922-1994. Holec, James. Peat, Marwick, Mitchell & Co. United States. Office of Transportation Systems Analysis and Information.	Dept. of Transportation, Office of the Secretary ; for sale by the National Technical Information Service,	1977	TD 1.20/6:10-77-19	google	SRLF	https://catalog.hathitrust.org/Record/101798154	Full View
Index of surface-water records to December 31, 1963	Anderson, B. A. Ham, C. B. Geological Survey (U.S.)	U.S. Dept. of the Interior, Geological Survey,	1965	I 19.4/2:501	google	SRLF	https://catalog.hathitrust.org/Record/101798157	Full View
Compendium of international air standardization agreements	United States. Department of the Air Force. Air Standardization Coordinating Committee. Central Treaty Organization. North Atlantic Treaty Organization.	The Dept.],	1977	D 301.7:3-7	google	SRLF	https://catalog.hathitrust.org/Record/101797911	Full View
Government activities affecting small business	United States. Department of Justice. United States. Congress. Senate. Committee on Banking and Currency.	U.S. Govt. Print. Off.,	1966		google	SRLF	https://catalog.hathitrust.org/Record/101797778	Full View
Legal guide for the soldier	United States. Department of the Army. United States. Army. Office of the Judge Advocate General.	Dept. of the Army,	1980	D 101.20:27-14/	google	SRLF	https://catalog.hathitrust.org/Record/101797978	Full View
Insurance and other programs for financial assistance to flood victims	United States. Department of Housing and Urban Development. United States. Congress. Senate. Committee on Banking and Currency.	U.S. Govt. Print. Off.,	1966		google	SRLF	https://catalog.hathitrust.org/Record/101797777	Full View
Special report pursuant to section 402(a)(2) of the Legislative Reorganization Act of 1970, identifying court proceedings and actions of vital interest to the Congress	United States. Congress. Joint Committee on Congressional Operations. Gravel, Mike, 1930- petitioner. Brewster, Daniel Baugh, 1923- appellee. United States. Supreme Court.	U.S. Govt. Print. Off.,	1972	Y 4.C 76/7:C 83/3	google	SRLF	https://catalog.hathitrust.org/Record/101797740	Full View
Fifth Supplemental National Defense Appropriation Bill for 1942	United States. Congress. House. Committee on Appropriations.	U.S. Govt. Print. Off.,	1942	Y 4.Ap 6/1:D 36/2/942-5	google	SRLF	https://catalog.hathitrust.org/Record/101797710	Full View
Draft environmental impact statement, proposed federal/state oil and gas lease sale, Beaufort Sea	United States. Bureau of Land Management	U.S. Bureau of Land Management,	1979	I 1.98:B38/3	google	UCSD	https://catalog.hathitrust.org/Record/101797155	Full View
Geohydrology and chemical quality of ground water, San Bernardino National Wildlife Refuge, Arizona	Longsworth, S. A. Geological Survey (U.S.) U.S. Fish and Wildlife Service.	U.S. Dept. of the Interior, U.S. Geological Survey ; Books and Open-File Reports Section [distributor,	1991	I 19.42/4:90-4190	google	UCR	https://catalog.hathitrust.org/Record/101733053	Full View
Hydrogeology and ground-water-quality conditions at the Linn County landfill, eastern Kansas, 1988-89	Falwell, Ronald D. Myers, Nathan C. Bigsby, Philip R. Geological Survey (U.S.) Linn County (Kan.)	U.S. Dept. of the Interior, U.S. Geological Survey ; Books and Open-File Reports [distributor],	1991	I 19.42/4:90-4117	google	UCR	https://catalog.hathitrust.org/Record/101733063	Full View
Upland and wetland habitat development with dredged material	Lunz, John D. Cole, Richard A. joint author. Diaz, R. J. joint author. United States. Army. Corps of Engineers.	Waterways Experiment Station ; available from National Technical Information Service,	1978		google	UCR	https://catalog.hathitrust.org/Record/101798778	Full View
Standard guidance for the preparation of quality assurance project plans	Plumb, Russell H. Dredging Operations Technical Support Program (U.S. Army Engineer Waterways Experiment Station) U.S. Army Engineer Waterways Experiment Station. United States. Army. Corps of Engineers.	U.S. Army Engineer Waterways Experiment Station,	1997		google	UCR	https://catalog.hathitrust.org/Record/101798779	Full View
Effects of Black Rock Harbor dredged material on the scope for growth of the blue mussel 'Mytilus Edulis' after laboratory and field exposures	Nelson, William G. Environmental Research Laboratory (Narragansett, R.I.) Field Verification Program (Aquatic Disposal) U.S. Army Engineer Waterways Experiment Station. United States. Environmental Protection Agency. United States. Army. Corps of Engineers. Environmental Research Laboratory (Narragansett, R.I.)	U.S. Army Engineer Waterways Experiment Station ; available from National Technical Information Service,	1987		google	UCR	https://catalog.hathitrust.org/Record/101798741	Full View
Sediment and radionuclide transport in rivers	Onishi, Yasuo. U.S. Nuclear Regulatory Commission. Division of Health, Siting, and Waste Management.	The Division,	1982	Y 3.N 88:25/2425	google	UCR	https://catalog.hathitrust.org/Record/101798735	Full View
Development of a modified elutriate test for estimating the quality of effluent from confined dredged material disposal areas	Palermo, Michael R. Long-term effects of dredging operations program. United States. Army. Corps of Engineers. U.S. Army Engineer Waterways Experiment Station.	U.S. Army Engineer Waterways Experiment Station ; available from National Technical Information Service,	1986		google	UCR	https://catalog.hathitrust.org/Record/101798740	Full View
Habitat development field investigations, Port St. Joe seagrass demonstration site, Port St. Joe, Florida	Phillips, Ronald C. Vincent, Mary K. joint author. Huffman, Robert T. joint author. Seattle Pacific College.	Waterways Experiment Station ; available from National Technical Information Service,	1978		google	UCR	https://catalog.hathitrust.org/Record/101798764	Full View
Committee report on bail, sentencing, penalties and asset forfeiture	National Conference on the Control and Diversion of Controlled Substances (3rd : 1987 : San Antonio, Tex.) United States. Drug Enforcement Administration.	U.S. Dept. of Justice, Drug Enforcement Administration,	1988	J 24.2:C 73/2	google	UCR	https://catalog.hathitrust.org/Record/101733489	Full View
U.S. policy, human rights, and the prospects for democracy in Chile	United States. Congress. House. Committee on Foreign Affairs. United States. Congress. House. Committee on Foreign Affairs. Subcommittee on Western Hemisphere Affairs. United States. Congress. House. Committee on Foreign Affairs. Subcommittee on Human Rights and International Organizations.	U.S. G.P.O. : For sale by the Supt. of Docs., Congressional Sales Office, U.S. G.P.O.,	1988	Y 4.F 76/1:H 88/52	google	UCR	https://catalog.hathitrust.org/Record/11338156	Full View
Developments in Europe, January 1987	United States. Congress. House. Committee on Foreign Affairs. Subcommittee on Europe and the Middle East.	U.S. G.P.O. : For sale by the Supt. of Docs., Congressional Sales Office, U.S. G.P.O.,	1987	Y 4.F 76/1:Eu 7/25/987	google	UCR	https://catalog.hathitrust.org/Record/11338064	Full View
Descriptive summary of 1989-90 beginning postsecondary students, two years later	Fitzgerald, Robert. National Center for Education Statistics. United States. Office of Educational Research and Improvement.	U.S. Dept. of Education, Office of Educational Research and Improvement ; For sale by the U.S. G.P.O., Supt. of Docs.,	1994		google	OSU	https://catalog.hathitrust.org/Record/101805346	Full View
Manual carpool matching methods	United States. Federal Highway Administration. Alan M. Voorhees & Associates.	The Department,	1974		google	NWU	https://catalog.hathitrust.org/Record/10631845	Full View
Science-technology advice in local governments	Fritschler, A. Lee, 1937- Underwood, James E. National Science Foundation (U.S.). Office of Intergovernmental Science and Research Utilization. International City Management Association	Reproduced by National Technical Information Service,	1970		google	NWU	https://catalog.hathitrust.org/Record/11227040	Full View
Forest statistics for the piedmont of North Carolina	Welch, Richard L. United States. Forest Service Southeastern Forest Experiment Station (Asheville, N.C.)	Dept. of Agriculture, Forest Service, Southeastern Forest Experiment Station,	1975	A 13.80:SE-32	google	UMN	https://catalog.hathitrust.org/Record/7406811	Limited View
STUB, a manufacturing system for producing rough dimension cuttings from low-grade lumber	Lucas, Edwin L. Gatchell, Charles J. Northeastern Forest Experiment Station (Radnor, Pa.)	U.S. Dept. of Agriculture, Forest Service, Northeastern Forest Experiment Station,	1976	A 13.79:NE-222	google	UMN	https://catalog.hathitrust.org/Record/7406883	Limited View
Frequency of external defect and skidding damage in ponderosa pine stands in the Black Hills	Schmid, J. M. Edminster, Carleton B. Mata, S. A. Rocky Mountain Forest and Range Experiment Station (Fort Collins, Colo.)	USDA Forest Service, Rocky Mountain Forest and Range Experiment Station,	1989		google	UMN	https://catalog.hathitrust.org/Record/7405340	Full View
Does verbenone reduce mountain pine beetle attacks in susceptible stands of ponderosa pine?	Bentz, Barbara J. Rocky Mountain Forest and Range Experiment Station (Fort Collins, Colo.)	USDA Forest Service, Rocky Mountain Forest and Range Experiment Station,	1989		google	UMN	https://catalog.hathitrust.org/Record/7399829	Full View
Log and tree sawing times for hardwood mills	Rast, Everette D. United States. Forest Service	U.S. Dept. of Agriculture, Forest Service, Northeastern Forest Experiment Station,	1974	A 13.78:NE-304	google	UMN	https://catalog.hathitrust.org/Record/7395673	Limited View
Migrant health program	United States. Public Health Service. United States. Congress. Senate. Committee on Labor and Public Welfare. Subcommittee on Migratory Labor.	U.S. Govt. Print. Off.,	1967	Y 4.L 11/2:M 58/6	google	NRLF	https://catalog.hathitrust.org/Record/6220698	Limited View
Annotated bibliography on coastal and ocean data assimilation	Hubertz, Jon M. Wang, Harry V. (Harry Ven-Chieh) Thompson, Edward F. U.S. Army Engineer Waterways Experiment Station. United States. Army. Corps of Engineers.	U.S. Army Engineer Waterways Experiment Station,	1996		google	UCR	https://catalog.hathitrust.org/Record/101798632	Full View
A brief history of the 4th Marines	Santelli, James S.	Historical Division, Headquarters, U.S. Marine Corps,	1971	D 214.14/2:H62/6	google	MIU	https://catalog.hathitrust.org/Record/1623081	Limited View
